,names,menu,loc,review_num,avg_score
2502,붐치킨,"치킨,닭강정","서울특별시 동작구 사당로26길 130-6 (사당동, 삼성아파트상가 106호)",0건,0.94
2602,소라네밥집,한식,"서울특별시 동작구 노량진로16길 26 (노량진동, 1층)",2건,0.83
2702,스타일,미용실,"서울특별시 동작구 등용로 110-1 (대방동, 1층)","3,604건",0.9090909090909091
2713,강씨네곱창,"곱창,막창,양","서울특별시 동작구 동작대로29길 12 (사당동, 1층)",3건,0.9
2733,벌떡볶이,종합분식,서울특별시 동작구 상도로15길 102 (상도동),5건,0.9285714285714286
2775,맥주바켓,"맥주,호프","서울특별시 동작구 만양로 지하 100 (노량진동, 2호)",0건,0.9
2785,투썸플레이스 노량진점,카페,"서울특별시 동작구 노량진로 174 (노량진동, 1층)",0건,0.69
2885,은화수식당,돈가스,"서울특별시 동작구 사당로 24-1 (상도동, 1층)",1건,0.875
2925,블랙조이커피,"카페,디저트","서울특별시 동작구 상도로67길 31, 3층 (상도동)",8건,1.0
2939,소굴,요리주점,"서울특별시 동작구 동작대로25길 30, 지하1층 (사당동)",22건,1.0
2943,유명한닭꼬치,닭요리,"서울특별시 동작구 신대방2길 2-5 (신대방동, (1층))",6건,1.0
2953,라자루스,"카페,디저트","서울특별시 동작구 남부순환로 2021 (사당동, (1층 2호))",0건,0.9772727272727273
2997,와플마레(Waffle mare),카페,"서울특별시 동작구 보라매로3길 29, 1층 16,17호 (신대방동, 해태보라매타워)",0건,0.9836065573770492
3058,장승황소곱창,"곱창,막창,양","서울특별시 동작구 장승배기로 135 (노량진동, 1층, 4호)",1건,0.9375
3090,인쌩맥주 이수역점,"맥주,호프","서울특별시 동작구 동작대로27다길 29 (사당동, 1층 107호)",0건,0.92
3165,설빙 노량진점,빙수,"서울특별시 동작구 노량진로 144 (노량진동, 외 2필지, 2층)",0건,0.91
3265,남성포차,포장마차,"서울특별시 동작구 사당로23나길 14 (사당동, 1층)",8건,0.9333333333333333
3280,낙지한마리수제비상도,한식,"서울특별시 동작구 상도로31길 19 (상도동, 브라운스톤상가  B207호)",0건,0.89
3380,흑수돈(흑석동수제돈까스),돈가스,"서울특별시 동작구 서달로14나길 27 (흑석동, 제1호, 1층)",0건,0.92
3480,이슬도둑,한식,"서울특별시 동작구 동작대로27가길 11 (사당동, 1층)",10건,0.9230769230769231
3493,화덕소곱창,"곱창,막창,양","서울특별시 동작구 남부순환로269길 9 (사당동, 1층)",2건,0.9736842105263158
3531,차얌 노량진점,카페,"서울특별시 동작구 노량진로16길 27 (노량진동, 1층)",0건,0.95
3631,신안생선모듬찜.해물찜,"해물,생선요리","서울특별시 동작구 노량진로8길 49, 1층 (노량진동)",0건,1.0
3632,맛카오치킨,"치킨,닭강정","서울특별시 동작구 사당로 266 (사당동, 1층)",0건,0.9736842105263158
3670,제이키친,"도시락,컵밥","서울특별시 동작구 사당로26길 121, 1층 (사당동)",0건,1.0
3671,부엉이포차,포장마차,"서울특별시 동작구 상도로47길 19, 1층 (상도1동)",1건,0.9
3681,오니슈,일식당,"서울특별시 동작구 양녕로 267 (상도1동, 101호)",0건,0.9
3701,유정우함흥냉면,냉면,"서울특별시 동작구 동작대로29다길 7-1 (사당동, 1층)",2건,0.87
3801,영덕물회막회,생선회,"서울특별시 동작구 여의대방로24길 52 (신대방동, 1층)",0건,0.8421052631578947
3839,청와옥 사당직영점,"순대,순댓국","서울특별시 동작구 동작대로 71 (사당동, 1층)",10건,0.65
3939,탕마루김치찌개(장승배기역점),"찌개,전골",서울특별시 동작구 상도로26길 12 (상도동),0건,0.94
4039,초롱박,"전,빈대떡","서울특별시 동작구 서달로14가길 19 (흑석동, 1층 2호)",0건,1.0
4043,다모아분식,종합분식,"서울특별시 동작구 동작대로39길 22, 1층 126,127호 (동작동, 이수힐스테이트)",2건,0.8
4053,카페니토(cafe Neat-o),"카페,디저트","서울특별시 동작구 상도로15길 105 (상도동, 1층)",0건,0.9047619047619048
4116,양셰프(양Chef),닭요리,"서울특별시 동작구 흑석로 85 (흑석동, 지하1층)",0건,0.9545454545454546
